Lat,Long,CATEGORIA,NOMBRE,DIRECCION
6.25577,-75.5804,BANCOS Y CORPORACIONES,BANCO DE OCCIDENTE,CALLE50 # 64C-08
6.25604,-75.5824,Cajero ATH,AV VILLAS Los Sauces,Cra. 66 # 49B-20
6.25693,-75.5832,CAJERO ELECTRONICO Cajero ATH,BANCO OCCIDENTE Calle Colombia,Cll. 50 # 67-19
6.25696,-75.6148,Cajero ATH,AV VILLAS San Javier 1,Cll. 45 # 98-80
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,"CONAVI Carrera 80 ""D""",Cra. 80 #47-96
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,CONAVI Carrera 80 1,Cra. 80 #47-96
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,CONAVI Carrera 80 2,Cra. 80 #47-96
6.25797,-75.5851,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE50 # 69-06
6.25984,-75.5904,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA74 # 49-117
6.25984,-75.5904,CAJERO ELECTRONICO Cajero ATH,BANCO BOGOTA Estadio - Medellin,Cra. 74 # 49-117
6.26005,-75.5975,BANCOS Y CORPORACIONES,BANCO SANTANDER,CARRERA80 # 48B-68
6.26033,-75.5903,CAJERO ELECTRONICO CONAVI,CONAVI Estadio 1,Cra. 74 #49B-35
6.26035,-75.5902,Cajero Automático MEGARed,Megabanco Diamante,Cra 74 # 49 B-05
6.26042,-75.5647,CAJERO ELECTRONICO CONAVI,CONAVI Comfama Prado,Cr.51 #61-77
6.26066,-75.5967,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE49 # 79-60
6.26111,-75.5974,CAJERO ELECTRONICO Cajero ATH,AV VILLAS Calazans,Cra. 80 # 49 - 29
6.26165,-75.5971,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA80 # 49-85
6.26167,-75.5972,BANCOS Y CORPORACIONES,BANCAFE,CARRERA80 # 49-75
6.26174,-75.5663,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE64 # 51D-72
6.26215,-75.597,CAJERO ELECTRONICO Granahorrar,Granahorrar CALASANZ,CRA 80 # 49A -82
6.26474,-75.5458,BANCOS Y CORPORACIONES,DAVIVIENDA,CALLE70 # 32-35
6.26929,-75.5549,Cajero Automático MEGARed,Megabanco Manrique,Cra 45 # 73-53
6.26935,-75.5741,BANCO GANADERO,BANCO GANADERO Fadegán,Cra. 64c No. 67-392
6.26965,-75.5663,BANCOS Y CORPORACIONES,BANCO COLPATRIA,CALLE73 # 52-40
6.27689,-75.5873,BANCOS Y CORPORACIONES,DAVIVIENDA,CARRERA75 # 75-50
6.2794,-75.5721,Cajero ATH,BANCO BOGOTA Terminal De Transporte Medellin,Cra. 64C # 78-580
6.28178,-75.586,CAJERO ELECTRONICO CONAVI,CONAVI Cardiovascular,Cll. 78 B #75-21
6.28528,-75.5845,Cajero ATH,AV VILLAS Lopez De Mesa,Cra. 80 # 80A - 02
6.29189,-75.572,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA68 # 96-86
6.29228,-75.5718,Cajero Automático MEGARed,Megabanco Castilla,Cra 68 # 96-101
